date;temperature;humidity;heat_index;pH
1737331200000;29.90;55.00;31.72;4
1737331200000;29.90;55.00;31.72;4
1737331200000;29.90;55.00;31.72;5
1737331200000;29.90;55.00;31.72;7
1737331200000;29.90;55.00;31.72;4
1737331200000;29.90;55.00;31.72;5
1737331200000;29.90;55.00;31.72;5
1737331200000;29.90;56.00;31.90;7
1737331200000;29.90;56.00;31.90;6
1737331200000;29.90;55.00;31.72;6
1737331200000;29.90;55.00;31.72;4
1737331200000;29.90;56.00;31.90;4
1737331200000;29.90;56.00;31.90;6
1737331200000;29.90;56.00;31.90;7
1737331200000;29.90;56.00;31.90;4
1737331200000;29.90;56.00;31.90;6
1737331200000;29.90;56.00;31.90;5
1737331200000;29.90;56.00;31.90;7
1737331200000;29.90;56.00;31.90;5
1737331200000;29.90;56.00;31.90;6
1737331200000;29.90;56.00;31.90;6
1737331200000;29.90;56.00;31.90;7
1737331200000;29.90;56.00;31.90;5
1737331200000;29.90;56.00;31.90;7
1737331200000;29.90;56.00;31.90;6
1737331200000;29.90;56.00;31.90;6
1737331200000;29.90;56.00;31.90;7
1737331200000;29.90;56.00;31.90;7
1737331200000;29.80;56.00;31.73;5
1737331200000;29.80;56.00;31.73;7
1737331200000;29.80;56.00;31.73;7
1737331200000;29.80;56.00;31.73;6
1737331200000;29.80;56.00;31.73;7
1737331200000;29.80;56.00;31.73;4
1737331200000;29.80;56.00;31.73;5
1737331200000;29.80;56.00;31.73;5
1737331200000;29.80;56.00;31.73;6
1737331200000;29.80;56.00;31.73;7
1737331200000;29.80;56.00;31.73;5
1737331200000;29.80;56.00;31.73;5
1737331200000;29.80;56.00;31.73;4
1737331200000;29.80;56.00;31.73;5
1737331200000;29.80;56.00;31.73;7
1737331200000;29.80;56.00;31.73;6
1737331200000;29.80;56.00;31.73;7
1737331200000;29.80;56.00;31.73;6
1737331200000;29.80;56.00;31.73;4
1737331200000;29.80;56.00;31.73;4
1737331200000;29.80;56.00;31.73;7
1737331200000;29.80;56.00;31.73;4
1737331200000;29.80;56.00;31.73;5
1737331200000;29.80;56.00;31.73;6
1737331200000;29.80;56.00;31.73;4
1737331200000;29.80;56.00;31.73;7
1737331200000;29.80;56.00;31.73;6
1737331200000;29.80;56.00;31.73;4
1737331200000;29.80;57.00;31.90;6
1737331200000;29.80;57.00;31.90;7
1737331200000;29.80;57.00;31.90;6
1737331200000;29.80;57.00;31.90;4
1737331200000;29.80;57.00;31.90;4
1737331200000;29.80;57.00;31.90;6
1737331200000;29.80;57.00;31.90;6
1737331200000;29.80;57.00;31.90;5
1737331200000;29.80;57.00;31.90;4
1737331200000;29.80;57.00;31.90;4
1737331200000;29.80;57.00;31.90;7
1737331200000;29.80;57.00;31.90;7
1737331200000;29.80;57.00;31.90;4
1737331200000;29.80;57.00;31.90;5
1737331200000;29.80;57.00;31.90;5
1737331200000;29.80;57.00;31.90;4
1737331200000;29.80;57.00;31.90;4
1737331200000;29.80;57.00;31.90;5
1737331200000;29.80;57.00;31.90;6
1737331200000;29.80;57.00;31.90;5
1737331200000;29.80;57.00;31.90;7
1737331200000;29.80;57.00;31.90;7
1737331200000;29.80;57.00;31.90;6
1737331200000;29.80;57.00;31.90;6
1737331200000;29.80;57.00;31.90;5
1737331200000;29.70;57.00;31.73;7
1737331200000;29.80;57.00;31.90;6
1737331200000;29.70;57.00;31.73;7
1737331200000;29.80;57.00;31.90;4
1737331200000;29.70;57.00;31.73;5
1737331200000;29.80;57.00;31.90;6
1737331200000;29.70;57.00;31.73;6
